21;HostName;TaskName;Next Run Time;Status;Logon Mode;Last Run Time;Last Result;Author;Task To Run;Start In;Comment;Scheduled Task State;Idle Time;Power Management;Run As User;Delete Task If Not Rescheduled;Stop Task If Runs X Hours and X Mins;Schedule;Schedule Type;Start Time;Start Date;End Date;Days;Months;Repeat: Every;Repeat: Until: Time;Repeat: Until: Duration;Repeat: Stop If Still Running
32;fcap09.falcon.local;\AUTO_Wiedervorlage_VW_SI420_10te;Disabled;Unknown;Interactive/Background;9.1.2013 6:00:00;0;admin-zj;P:\Ikaros\SQL-Skripte\Tagesaufgaben\VW_Automatisch\AUTO_Wiedervorlage_VW_SI420.vbs ;P:\Ikaros\SQL-Skripte\Tagesaufgaben\VW_Automatisch;N/A;Disabled;Disabled;Stop On Battery Mode, No Start On Batteries;FALCON\admin-cp;Disabled;72:00:00;Scheduling data is not available in this format.;Monthly;6:00:00;2.1.2013;N/A;09;Every month;Disabled;Disabled;Disabled;Disabled
33;fcap09.falcon.local;\AUTO_Wiedervorlage_VW_SI420_20te;Disabled;Unknown;Interactive/Background;19.1.2013 6:00:00;0;admin-zj;P:\Ikaros\SQL-Skripte\Tagesaufgaben\VW_Automatisch\AUTO_Wiedervorlage_VW_SI420.vbs ;P:\Ikaros\SQL-Skripte\Tagesaufgaben\VW_Automatisch;N/A;Disabled;Disabled;Stop On Battery Mode, No Start On Batteries;FALCON\admin-cp;Disabled;72:00:00;Scheduling data is not available in this format.;Monthly;6:00:00;2.1.2013;N/A;19;Every month;Disabled;Disabled;Disabled;Disabled
34;fcap09.falcon.local;\Backup_daily_Access_Code;24.7.2014 0:10:00;Ready;Interactive/Background;23.7.2014 0:10:00;0;admin-zj;D:\Apps\Automation\ACCESS_JOB\copy_daily_code.bat ;D:\Apps\Automation\ACCESS_JOB;N/A;Enabled;Disabled;Stop On Battery Mode, No Start On Batteries;FALCON\admin-zj;Enabled;72:00:00;Scheduling data is not available in this format.;Daily ;0:10:00;14.11.2012;N/A;Every 1 day(s);N/A;Disabled;Disabled;Disabled;Disabled
35;fcap09.falcon.local;\bertrandt_aktanf_in_1;Disabled;Unknown;Interactive/Background;8.1.2013 10:20:00;0;admin-pl;D:\Apps\Automation\Akten_Anforderung_Bertrandt\All_Start_Manager\all_start_in_5bis7.vbs ;D:\Apps\Automation\Akten_Anforderung_Bertrandt\All_Start_Manager;N/A;Disabled;Disabled;Stop On Battery Mode, No Start On Batteries;FALCON\admin-pl;Disabled;72:00:00;Scheduling data is not available in this format.;Weekly;10:20:00;4.1.2013;N/A;Every day of the week;Every 1 week(s);Disabled;Disabled;Disabled;Disabled
36;fcap09.falcon.local;\bertrandt_aktanf_in_2;Disabled;Unknown;Interactive/Background;8.1.2013 10:25:00;0;admin-pl;D:\Apps\Automation\Akten_Anforderung_Bertrandt\All_Start_Manager\akt_zurueck_start_in_10bis14.vbs ;D:\Apps\Automation\Akten_Anforderung_Bertrandt\All_Start_Manager;N/A;Disabled;Disabled;Stop On Battery Mode, No Start On Batteries;FALCON\admin-pl;Disabled;72:00:00;Scheduling data is not available in this format.;Weekly;10:25:00;4.1.2013;N/A;Every day of the week;Every 1 week(s);Disabled;Disabled;Disabled;Disabled
37;fcap09.falcon.local;\bertrandt_aktanf_nicht_zurueck;Disabled;Unknown;Interactive/Background;7.1.2013 13:47:59;0;admin-pl;D:\Apps\Automation\Akten_Anforderung_Bertrandt\All_Start_Manager\akt_nicht_zurueck_15bis16.vbs ;D:\Apps\Automation\Akten_Anforderung_Bertrandt\All_Start_Manager;N/A;Disabled;Disabled;Stop On Battery Mode, No Start On Batteries;FALCON\admin-pl;Disabled;72:00:00;Scheduling data is not available in this format.;Weekly;13:45:00;4.1.2013;N/A;Every day of the week;Every 1 week(s);Disabled;Disabled;Disabled;Disabled
38;fcap09.falcon.local;\bertrandt_aktanf_out_1;Disabled;Unknown;Interactive/Background;17.1.2013 4:35:00;0;admin-pl;D:\Apps\Automation\Akten_Anforderung_Bertrandt\All_Start_Manager\all_start_out_1bis2.vbs ;D:\Apps\Automation\Akten_Anforderung_Bertrandt\All_Start_Manager;Dieser Job erzeugt 3 Dateien (HP, SB, E) und schiebt diese in den Eingangsordner von Bertrandt.;Disabled;Disabled;Stop On Battery Mode, No Start On Batteries;FALCON\admin-pl;Disabled;72:00:00;Scheduling data is not available in this format.;Weekly;4:35:00;4.1.2013;N/A;Every day of the week;Every 1 week(s);Disabled;Disabled;Disabled;Disabled
39;fcap09.falcon.local;\bertrandt_aktanf_out_2;Disabled;Unknown;Interactive/Background;7.1.2013 13:45:35;0;admin-pl;D:\Apps\Automation\Akten_Anforderung_Bertrandt\All_Start_Manager\akt_zurueck_start_out_8bis9.vbs ;D:\Apps\Automation\Akten_Anforderung_Bertrandt\All_Start_Manager;N/A;Disabled;Disabled;Stop On Battery Mode, No Start On Batteries;FALCON\admin-pl;Disabled;72:00:00;Scheduling data is not available in this format.;Weekly;13:40:00;4.1.2013;N/A;Every day of the week;Every 1 week(s);Disabled;Disabled;Disabled;Disabled
40;fcap09.falcon.local;\Bertrandt_Bereinigung_Scanning;23.7.2014 21:00:00;Ready;Interactive/Background;22.7.2014 21:00:00;0;admin-zj;D:\Apps\Automation\Aktenscanning_Bertrandt\Bereinigen\Bereinigung_Scanning_Bertrandt.vbs ;D:\Apps\Automation\Aktenscanning_Bertrandt\Bereinigen;N/A;Enabled;Disabled;Stop On Battery Mode, No Start On Batteries;FALCON\admin-ik;Enabled;72:00:00;Scheduling data is not available in this format.;Weekly;21:00:00;5.3.2011;N/A;MON, TUE, WED, THU, FRI;Every 1 week(s);Disabled;Disabled;Disabled;Disabled
41;fcap09.falcon.local;\bertrandt_daily_in;24.7.2014 10:15:00;Ready;Interactive/Background;23.7.2014 10:15:00;0;admin-lr;D:\Apps\Automation\Bertrandt\bertrandt_daily_in.bat ;D:\Apps\Automation\Bertrandt;Holt Dateien von Bertrandt tÑglich ab: sFTP://tvrbprdb/spbertrandt/SonderFaelle/ausgang/;Enabled;Disabled;Stop On Battery Mode, No Start On Batteries;FALCON\admin-ik;Enabled;72:00:00;Scheduling data is not available in this format.;Weekly;10:15:00;12.9.2011;N/A;Every day of the week;Every 1 week(s);Disabled;Disabled;Disabled;Disabled
