21;HostName;TaskName;Next Run Time;Status;Logon Mode;Last Run Time;Last Result;Author;Task To Run;Start In;Comment;Scheduled Task State;Idle Time;Power Management;Run As User;Delete Task If Not Rescheduled;Stop Task If Runs X Hours and X Mins;Schedule;Schedule Type;Start Time;Start Date;End Date;Days;Months;Repeat: Every;Repeat: Until: Time;Repeat: Until: Duration;Repeat: Stop If Still Running
66;fcap09.falcon.local;\IKA_TRAINNING_stop_start_FI;Disabled;Unknown;Interactive/Background;22.9.2013 22:02:59;0;admin-zj;F:\Data\IKA-TRAINING-ASA12\Skript_FI\IKA_TRAINNING_stop_start_FI.cmd ;F:\Data\IKA-TRAINING-ASA12\Skript_FI;N/A;Disabled;Disabled;Stop On Battery Mode, No Start On Batteries;FALCON\admin-zj;Disabled;72:00:00;Scheduling data is not available in this format.;Weekly;12:15:00;22.9.2013;N/A;SUN;Every 1 week(s);Disabled;Disabled;Disabled;Disabled
67;fcap09.falcon.local;\kundenportal_export;23.7.2014 21:00:00;Ready;Interactive/Background;22.7.2014 21:00:00;0;admin-lr;D:\Apps\Automation\Kundenportal\Export_to_DEINTRA01\kundenportal_export.bat ;D:\Apps\Automation\Kundenportal\Export_to_DEINTRA01;N/A;Enabled;Disabled;Stop On Battery Mode, No Start On Batteries;FALCON\admin-zj10;Enabled;06:00:00;Scheduling data is not available in this format.;Weekly;21:00:00;17.3.2010;N/A;Every day of the week;Every 1 week(s);Disabled;Disabled;Disabled;Disabled
68;fcap09.falcon.local;\Kundenportal_Webaktenanlage_abholen;23.7.2014 20:30:00;Ready;Interactive/Background;22.7.2014 20:30:00;0;admin-ar;D:\Apps\Automation\Kundenportal\KP_und_Webaktenanlage_Dateien_abholen\Kundenportal_Webaktenanlage_abholen.bat ;D:\Apps\Automation\Kundenportal\KP_und_Webaktenanlage_Dateien_abholen;N/A;Enabled;Disabled;Stop On Battery Mode, No Start On Batteries;FALCON\admin-zj10;Enabled;72:00:00;Scheduling data is not available in this format.;Weekly;20:30:00;2.1.2014;N/A;MON, TUE, WED, THU, FRI;Every 1 week(s);Disabled;Disabled;Disabled;Disabled
69;fcap09.falcon.local;\monthly_FORDERUNGSAUSWERTUNG;Disabled;Unknown;Background only;2.7.2013 10:00:41;0;admin-zj;D:\Apps\Automation\FORDERUNGSAUSWERTUNG\Start_monthly_FORDERUNGSAUSWERTUNG.vbs ;D:\Apps\Automation\FORDERUNGSAUSWERTUNG;N/A;Disabled;Disabled;Stop On Battery Mode, No Start On Batteries;NT AUTHORITY\SYSTEM;Disabled;72:00:00;Scheduling data is not available in this format.;Monthly;0:10:00;1.12.2010;N/A;02;Every month;Disabled;Disabled;Disabled;Disabled
70;fcap09.falcon.local;\monthly_OP_LISTEN;Disabled;Unknown;Interactive/Background;1.11.2011 1:00:00;0;admin-zj;D:\Apps\Automation\NR_01_A003_A004_OP_LISTEN_KB020.bat ;D:\Apps\Automation;N/A;Disabled;Disabled;Stop On Battery Mode, No Start On Batteries;FALCON\admin-zj;Disabled;72:00:00;Scheduling data is not available in this format.;Monthly;1:00:00;1.1.2011;N/A;01;Every month;Disabled;Disabled;Disabled;Disabled
71;fcap09.falcon.local;\robocopy_genocash;Disabled;Unknown;Interactive/Background;25.8.2011 17:00:00;1;admin-lr;D:\Apps\Robocopy\robocopy_genocash.cmd ;D:\Apps\Robocopy;Sync GenoCash directories to P:\;Disabled;Disabled;Stop On Battery Mode, No Start On Batteries;FALCON\admin-lr;Disabled;72:00:00;Scheduling data is not available in this format.;Daily ;12:00:00;23.6.2010;N/A;Every 1 day(s);N/A;5 Hour(s), 0 Minute(s);None;9 Hour(s), 0 Minute(s);Disabled
72;fcap09.falcon.local;\robocopy_sFirm32;Disabled;Unknown;Interactive/Background;4.12.2013 19:00:00;1;admin-lr;D:\Apps\Robocopy\robocopy_sFirm32.cmd ;D:\Apps\Robocopy;Robocopy of C:\sFirm32 from FCPC319;Disabled;Disabled;Stop On Battery Mode, No Start On Batteries;FALCON\admin-ik;Disabled;72:00:00;Scheduling data is not available in this format.;Daily ;19:00:00;25.6.2010;N/A;Every 1 day(s);N/A;Disabled;Disabled;Disabled;Disabled
73;fcap09.falcon.local;\Santander_Generate_IBAN;23.7.2014 22:15:00;Ready;Interactive/Background;22.7.2014 22:15:00;0;admin-dge;D:\Apps\Automation\Santander Generate IBAN\Santander_Generate_IBAN.exe IKAROS;D:\Apps\Automation\Santander Generate IBAN;N/A;Enabled;Disabled;Stop On Battery Mode, No Start On Batteries;FALCON\admin-dge;Enabled;72:00:00;Scheduling data is not available in this format.;Weekly;22:15:00;27.2.2014;N/A;MON, TUE, WED, THU, FRI;Every 1 week(s);Disabled;Disabled;Disabled;Disabled
74;fcap09.falcon.local;\SAP_AUTOMATIC_Di_bis_So;24.7.2014 0:45:00;Ready;Interactive/Background;23.7.2014 0:45:00;0;admin-zj;D:\Apps\Automation\SAP_AUTOMATIC_Di_bis_So.bat ;D:\Apps\Automation;N/A;Enabled;Disabled;Stop On Battery Mode, No Start On Batteries;FALCON\admin-zj05;Enabled;72:00:00;Scheduling data is not available in this format.;Weekly;0:45:00;27.3.2010;N/A;SUN, TUE, WED, THU, FRI, SAT;Every 1 week(s);Disabled;Disabled;Disabled;Disabled
75;fcap09.falcon.local;\SGD_Ausbuchungsliste;1.8.2014 6:00:00;Ready;Interactive/Background;1.7.2014 6:00:00;0;admin-lr;P:\Ikaros\SQL-Skripte\Monatsaufgaben\AUTOMATIC_SKRIPTS\SGD_Ausbuchungsliste.vbs ;P:\Ikaros\SQL-Skripte\Monatsaufgaben\AUTOMATIC_SKRIPTS\;Erzeugt Excel-Datei fÅr Kundenbetreuung: SGD-Ausbuchungsliste.;Enabled;Disabled;Stop On Battery Mode, No Start On Batteries;FALCON\admin-ik;Enabled;02:00:00;Scheduling data is not available in this format.;Monthly;6:00:00;21.1.2011;N/A;01;Every month;Disabled;Disabled;Disabled;Disabled
76;fcap09.falcon.local;\Skript_UN036_daily_Kontrolle;Disabled;Unknown;Interactive/Background;6.9.2012 22:00:00;0;admin-zj;D:\Apps\Automation\TMOBILE_EBH_KONTROLLE\Skript_UN036_daily_Kontrolle.vbs ;D:\Apps\Automation\TMOBILE_EBH_KONTROLLE;N/A;Disabled;Disabled;Stop On Battery Mode, No Start On Batteries;FALCON\admin-ik;Disabled;72:00:00;Scheduling data is not available in this format.;Daily ;22:00:00;26.5.2011;N/A;Every 1 day(s);N/A;Disabled;Disabled;Disabled;Disabled
77;fcap09.falcon.local;\Skript_UN036_daily_Kontrolle_after_update;Disabled;Unknown;Interactive/Background;10.9.2012 21:20:00;0;admin-zj;D:\Apps\Automation\TMOBILE_EBH_KONTROLLE\Skript_UN036_daily_Kontrolle_after_update.vbs ;D:\Apps\Automation\TMOBILE_EBH_KONTROLLE;N/A;Disabled;Disabled;Stop On Battery Mode, No Start On Batteries;FALCON\admin-ik;Disabled;72:00:00;Scheduling data is not available in this format.;Daily ;21:20:00;26.5.2011;N/A;Every 1 day(s);N/A;Disabled;Disabled;Disabled;Disabled
78;fcap09.falcon.local;\Space_FCAP09;24.7.2014 1:00:00;Ready;Interactive/Background;23.7.2014 1:00:00;0;admin-zj;D:\Apps\Automation\ADMIN_SCRIPTS\Space_FCAP09.vbs ;D:\Apps\Automation\ADMIN_SCRIPTS;N/A;Enabled;Disabled;Stop On Battery Mode, No Start On Batteries;FALCON\admin-zj;Enabled;72:00:00;Scheduling data is not available in this format.;Weekly;1:00:00;14.8.2013;N/A;Every day of the week;Every 1 week(s);Disabled;Disabled;Disabled;Disabled
79;fcap09.falcon.local;\Start_Aktenscanning_Com_Fin;23.7.2014 23:01:00;Ready;Interactive/Background;22.7.2014 23:01:00;0;admin-dge;D:\Apps\Automation\Aktenscanning_ComFinanz_Auto\All_Start_Manager\Start_Aktenscanning_Com_Fin.vbs ;D:\Apps\Automation\Aktenscanning_ComFinanz_Auto\All_Start_Manager;N/A;Enabled;Disabled;Stop On Battery Mode, No Start On Batteries;FALCON\admin-ik;Enabled;72:00:00;Scheduling data is not available in this format.;Weekly;23:01:00;7.3.2014;N/A;MON, TUE, WED, THU, FRI;Every 1 week(s);Disabled;Disabled;Disabled;Disabled
80;fcap09.falcon.local;\Start_Aktenscanning_Lokal;23.7.2014 12:02:00;Ready;Interactive/Background;23.7.2014 9:02:00;0;admin-zj;D:\Apps\Automation\Aktenscanning_Lokal\All_Start_Manager\Start_Aktenscanning_Lokal.vbs ;D:\Apps\Automation\Aktenscanning_Lokal\All_Start_Manager;N/A;Enabled;Disabled;Stop On Battery Mode, No Start On Batteries;FALCON\admin-zj;Enabled;72:00:00;Scheduling data is not available in this format.;Weekly;9:02:00;14.12.2011;N/A;MON, TUE, WED, THU, FRI;Every 1 week(s);3 Hour(s), 0 Minute(s);None;10 Hour(s), 18 Minute(s);Disabled
81;fcap09.falcon.local;\Start_monthly_FORDERUNGSAUSWERTUNG;1.8.2014 0:10:00;Ready;Interactive/Background;1.7.2014 0:10:00;0;admin-zj01;D:\Apps\Automation\FORDERUNGSAUSWERTUNG\Start_monthly_FORDERUNGSAUSWERTUNG.vbs ;D:\Apps\Automation\FORDERUNGSAUSWERTUNG;N/A;Enabled;Disabled;Stop On Battery Mode, No Start On Batteries;FALCON\admin-zj01;Enabled;72:00:00;Scheduling data is not available in this format.;Monthly;0:10:00;1.7.2013;N/A;01;Every month;Disabled;Disabled;Disabled;Disabled
82;fcap09.falcon.local;\Start_PostScanning_Ordner_Create;24.7.2014 7:00:00;Ready;Interactive/Background;23.7.2014 7:00:00;0;admin-zj;D:\Apps\Automation\Aktenscanning_Lokal\0_Scanning_Dir_Vorbereitung\Start_0_Scanning_Dir.vbs ;D:\Apps\Automation\Aktenscanning_Lokal\0_Scanning_Dir_Vorbereitung;N/A;Enabled;Disabled;Stop On Battery Mode, No Start On Batteries;FALCON\admin-zj;Enabled;72:00:00;Scheduling data is not available in this format.;Weekly;7:00:00;15.12.2011;N/A;MON, TUE, WED, THU, FRI;Every 1 week(s);Disabled;Disabled;Disabled;Disabled
83;fcap09.falcon.local;\Start_ScanKontrolle_AZ_Falsch;23.7.2014 18:55:00;Ready;Interactive/Background;22.7.2014 18:55:00;0;admin-zj;D:\Apps\Automation\Aktenscanning_Lokal\10_Export_Kontrolle_Az_Falsch\10_ScanKontrolle_Export_to_Excel_AZ_Falsch.vbs ;D:\Apps\Automation\Aktenscanning_Lokal\10_Export_Kontrolle_Az_Falsch;N/A;Enabled;Disabled;Stop On Battery Mode, No Start On Batteries;FALCON\admin-ik;Enabled;72:00:00;Scheduling data is not available in this format.;Weekly;18:55:00;22.12.2011;N/A;MON, TUE, WED, THU, FRI;Every 1 week(s);Disabled;Disabled;Disabled;Disabled
84;fcap09.falcon.local;\Start_ScanKontrolle_in_Abgeschlossene_Az;23.7.2014 22:20:00;Ready;Interactive/Background;22.7.2014 22:20:00;0;admin-zj;D:\Apps\Automation\Aktenscanning_Lokal\8_Export_Kontrolle_Abgeschlossene_Az\8_ScanKontrolle_Export_Abgeschlossene_Az_to_Excel.vbs ;D:\Apps\Automation\Aktenscanning_Lokal\8_Export_Kontrolle_Abgeschlossene_Az;N/A;Enabled;Disabled;Stop On Battery Mode, No Start On Batteries;FALCON\admin-ik;Enabled;72:00:00;Scheduling data is not available in this format.;Weekly;22:20:00;19.12.2011;N/A;MON, TUE, WED, THU, FRI;Every 1 week(s);Disabled;Disabled;Disabled;Disabled
85;fcap09.falcon.local;\Start_ScanKontrolle_nach_WV_Ueberschreiben;23.7.2014 22:30:00;Ready;Interactive/Background;22.7.2014 22:30:00;0;admin-zj;D:\Apps\Automation\Aktenscanning_Lokal\9_Export_Kontrolle_WiederVorlage_Ueberschrieben\9_ScanKontrolle_WV_Ueberschreiben.vbs ;D:\Apps\Automation\Aktenscanning_Lokal\9_Export_Kontrolle_WiederVorlage_Ueberschrieben;N/A;Enabled;Disabled;Stop On Battery Mode, No Start On Batteries;FALCON\admin-zj;Enabled;72:00:00;Scheduling data is not available in this format.;Weekly;22:30:00;19.12.2011;N/A;MON, TUE, WED, THU, FRI;Every 1 week(s);Disabled;Disabled;Disabled;Disabled
86;fcap09.falcon.local;\WV_BX;24.7.2014 0:15:00;Ready;Interactive/Background;23.7.2014 0:15:00;0;admin-zj;D:\Apps\Automation\AUTO_WV\B\WV_BX.cmd ;D:\Apps\Automation\AUTO_WV\B;N/A;Enabled;Disabled;Stop On Battery Mode, No Start On Batteries;FALCON\admin-zj03;Enabled;72:00:00;Scheduling data is not available in this format.;Weekly;0:15:00;2.1.2013;N/A;MON, TUE, WED, THU, FRI;Every 1 week(s);Disabled;Disabled;Disabled;Disabled
87;fcap09.falcon.local;\WV_GI099_monatlich;Disabled;Unknown;Interactive/Background;30.11.2013 8:00:00;0;admin-zj;D:\Apps\Automation\AUTO_WV\GI099\GI099_WV_monatlich.vbs ;D:\Apps\Automation\AUTO_WV\GI099;N/A;Disabled;Disabled;Stop On Battery Mode, No Start On Batteries;FALCON\admin-zj03;Disabled;72:00:00;Scheduling data is not available in this format.;Monthly;8:00:00;2.1.2013;N/A;30;Every month;Disabled;Disabled;Disabled;Disabled
88;fcap09.falcon.local;\WV_GI099_taeglich;23.7.2014 20:30:00;Ready;Interactive/Background;22.7.2014 20:30:00;0;admin-zj;D:\Apps\Automation\AUTO_WV\GI099\WV_GI099_taeglich.bat ;D:\Apps\Automation\AUTO_WV\GI099;N/A;Enabled;Disabled;Stop On Battery Mode, No Start On Batteries;FALCON\admin-zj02;Enabled;72:00:00;Scheduling data is not available in this format.;Weekly;20:30:00;2.1.2013;N/A;MON, TUE, WED, THU, FRI;Every 1 week(s);Disabled;Disabled;Disabled;Disabled
89;fcap09.falcon.local;\WV_P;23.7.2014 19:15:00;Ready;Interactive/Background;22.7.2014 19:15:00;0;admin-ar;D:\Apps\Automation\AUTO_WV\P\WV_P.bat ;D:\Apps\Automation\AUTO_WV\P;N/A;Enabled;Disabled;Stop On Battery Mode, No Start On Batteries;FALCON\admin-zj09;Enabled;72:00:00;Scheduling data is not available in this format.;Weekly;19:15:00;3.5.2012;N/A;MON, TUE, WED, THU, FRI, SAT;Every 1 week(s);Disabled;Disabled;Disabled;Disabled
90;fcap09.falcon.local;\WV_SELEC_BI;24.7.2014 2:55:00;Ready;Interactive/Background;23.7.2014 2:55:00;0;admin-ar;D:\Apps\Automation\AUTO_WV\SELEC_BI\WV_SELEC_BI.cmd ;D:\Apps\Automation\AUTO_WV\SELEC_BI;Startet die WVen SELEC und BI;Enabled;Disabled;Stop On Battery Mode, No Start On Batteries;FALCON\admin-ik;Enabled;72:00:00;Scheduling data is not available in this format.;Daily ;2:55:00;25.11.2013;N/A;Every 1 day(s);N/A;Disabled;Disabled;Disabled;Disabled
91;fcap09.falcon.local;\WV_SI438_woechentlich;Disabled;Unknown;Interactive/Background;11.3.2014 11:00:00;0;Admin-CP;D:\Apps\Automation\AUTO_WV\SI438\WV_SI438_woechentlich.vbs ;D:\Apps\Automation\AUTO_WV\SI438;N/A;Disabled;Disabled;Stop On Battery Mode, No Start On Batteries;FALCON\admin-ik;Disabled;72:00:00;Scheduling data is not available in this format.;Weekly;11:00:00;2.1.2013;N/A;TUE, THU;Every 1 week(s);Disabled;Disabled;Disabled;Disabled
92;fcap09.falcon.local;\WV_SI467_woechentlich;Disabled;Unknown;Interactive/Background;6.3.2014 12:59:59;0;Admin-CP;D:\Apps\Automation\AUTO_WV\Si467\WV_SI467_woechentlich.vbs ;D:\Apps\Automation\AUTO_WV\Si467;N/A;Disabled;Disabled;Stop On Battery Mode, No Start On Batteries;FALCON\admin-ik;Disabled;72:00:00;Scheduling data is not available in this format.;Weekly;13:00:00;2.1.2013;N/A;THU;Every 1 week(s);Disabled;Disabled;Disabled;Disabled
93;fcap09.falcon.local;\WV_T1;23.7.2014 18:00:00;Ready;Interactive/Background;22.7.2014 18:00:00;0;admin-ik;D:\Apps\Automation\AUTO_WV\T\WV_TX1.cmd ;D:\Apps\Automation\AUTO_WV\T;N/A;Enabled;Disabled;Stop On Battery Mode, No Start On Batteries;FALCON\admin-zj;Enabled;72:00:00;Scheduling data is not available in this format.;Weekly;18:00:00;26.12.2013;N/A;MON, TUE, WED, THU, FRI, SAT;Every 1 week(s);Disabled;Disabled;Disabled;Disabled
94;fcap09.falcon.local;\WV_T2;23.7.2014 20:00:00;Ready;Interactive/Background;22.7.2014 20:00:00;1;admin-zj;D:\Apps\Automation\AUTO_WV\T\WV_TX2.cmd ;D:\Apps\Automation\AUTO_WV\T;N/A;Enabled;Disabled;Stop On Battery Mode, No Start On Batteries;FALCON\admin-zj02;Enabled;72:00:00;Scheduling data is not available in this format.;Weekly;20:00:00;18.4.2011;N/A;MON, TUE, WED, THU, FRI, SAT;Every 1 week(s);Disabled;Disabled;Disabled;Disabled
95;fcap09.falcon.local;\WV_Vorlauf_WVGesamt_Mo_bis_FR;23.7.2014 13:31:00;Ready;Interactive/Background;22.7.2014 13:31:00;0;admin-zj;D:\Apps\Automation\AUTO_WV\Mo_bis_Fr\WV_Vorlauf_WVGesamt_Mo_bis_Fr.bat ;D:\Apps\Automation\AUTO_WV\Mo_bis_Fr;N/A;Enabled;Disabled;Stop On Battery Mode, No Start On Batteries;FALCON\admin-ik;Enabled;72:00:00;Scheduling data is not available in this format.;Weekly;13:31:00;2.1.2013;N/A;MON, TUE, WED, THU, FRI;Every 1 week(s);Disabled;Disabled;Disabled;Disabled
